type	entity
ORGANIZATION	Career Advice Admissions Digital Learning Diversity Search News
PERSON	Monopsony
ORGANIZATION	Job News Admissions Insider Digital Learning Diversity Matters Views Career Advice Blog U Surveys Webinars Events amp People Jobs Capital Campaigns Admissions Books Technology Community Colleges Diversity Teaching
ORGANIZATION	Digital Humanities as Corporatist Restructuring Controversial
PERSON	Carl Straumsheim
ORGANIZATION	Los Angeles Review of Books
LOCATION	Silicon Valley
ORGANIZATION	Carleton University in Canada Virginia Commonwealth University
ORGANIZATION	University of the West of England
PERSON	Daniel Allington Sarah Brouillette
PERSON	David Golumbia
LOCATION	New Republic
PERSON	Allington Brouillette
PERSON	Golumbia
ORGANIZATION	Andrew W Mellon Foundation Google
ORGANIZATION	National Endowment for the Humanities
LOCATION	Silicon Valley
LOCATION	Silicon Valley
PERSON	Martha Nell Smith
ORGANIZATION	Maryland Institute for Technology in the Humanities
PERSON	Smith
PERSON	Smith
PERSON	Smith
ORGANIZATION	University of Maryland at College Park
PERSON	Alan Liu
ORGANIZATION	University of California at Santa Barbara
PERSON	Roopika Risam
ORGANIZATION	Salem State University
PERSON	Risam
PERSON	Carl Straumsheim
ORGANIZATION	Accountability Books and Publishing Community Colleges Diversity For Profit Higher Ed Global Health
ORGANIZATION	Careers image Arts amp Humanities
ORGANIZATION	Instructor Instrumental Music University of Mary Hardin Baylor image Arts amp Humanities
ORGANIZATION	University of Mary Hardin Baylor image Arts amp Humanities
ORGANIZATION	Performing Arts Theatre Technician Antelope Valley College Search Jobs Hiring Post
ORGANIZATION	Mercyhurst Ends Honors for Former President University Press Group Decries Censorship Arizona Court
ORGANIZATION	State Tuition Adams State
LOCATION	Columbia
LOCATION	Connecticut Avenue
LOCATION	Washington DC
LOCATION	Connecticut Avenue
