type	entity
ORGANIZATION	Google
ORGANIZATION	Steffen Roth La Rochelle Business School Yerevan State University
ORGANIZATION	Google Ngram
ORGANIZATION	Google
ORGANIZATION	Google
ORGANIZATION	Steffen Roth Contact Author Yerevan State University
PERSON	Alex Manoogian
LOCATION	Yerevan
LOCATION	Armenia
ORGANIZATION	Rochelle Business School
LOCATION	rue de Coureilles Les Minimes La Rochelle
LOCATION	France
PERSON	David C Logan
ORGANIZATION	University of Southern California Marshall School of Business Cultural Anthropology eJournal Follow Cultural Anthropology eJournal Subscribe
ORGANIZATION	Econometrics Computer Programs amp Software eJournal Follow Econometrics Computer Programs amp Software eJournal Subscribe
PERSON	Chris Minns
ORGANIZATION	London School of Economics amp Political Science LSE Department of Economic History Jeffrey G Williamson
ORGANIZATION	Harvard University Department of Economics Laird Bell Professor of Economics Emeritus European Economics Political Economy amp Public Economics eJournal Follow European Economics Political Economy amp Public Economics eJournal Subscribe
PERSON	Marco Da Rin
ORGANIZATION	Tilburg University Department of Finance
PERSON	Francesco Giavazzi
ORGANIZATION	University of Bocconi Innocenzo Gasparini Institute for Economic Research IGIER Linguistic Anthropology eJournal Follow Linguistic Anthropology eJournal Subscribe
ORGANIZATION	Econometrics Econometric
ORGANIZATION	Econometrics Econometric
PERSON	Frances McCall Rosenbluth
ORGANIZATION	Yale University Department of Political Science Political Methods Computational
ORGANIZATION	Steffen Roth Coining Societies An Inter Functional Comparative Analysis
PERSON	Steffen Roth
ORGANIZATION	Multifunctional Organization Two Cases for a Critical Update for Research Programs
ORGANIZATION	Steffen Roth Booties Bounties Business Models
PERSON	Steffen Roth
PERSON	Steffen Roth Jari Kaivo
ORGANIZATION	Business Value Communication
PERSON	Steffen Roth
PERSON	Steffen Roth
PERSON	Steffen Roth
PERSON	Anton Sch
LOCATION	Finland
LOCATION	Europe
PERSON	Jari Kaivo
ORGANIZATION	Toni Ahlqvist Les Deux Angleterres Et Le Continent Anglophone Sociology
PERSON	Steffen Roth
LOCATION	United States
LOCATION	United States
ORGANIZATION	Publishing Jobs amp Announcements Newsletter
ORGANIZATION	Relx Group
