type	entity
ORGANIZATION	Journal Advanced Search Home Browse Journals amp Books Library Hi Tech Volume
ORGANIZATION	Center for Electronic Texts in the Humanities Moving
ORGANIZATION	Center for Electronic Texts
PERSON	Brian Hancock Brian Hancock
ORGANIZATION	Humanities Librarian Center for Electronic Texts in the Humanities at Alexander Library Rutgers University Libraries New Brunswick New Jersey USA
PERSON	Michael J Giarlo Michael J Giarlo
ORGANIZATION	Alexander Library Rutgers University Libraries New Brunswick New Jersey USA Show
ORGANIZATION	Center for Electronic Texts in the Humanities
PERSON	Lector Longinquus
ORGANIZATION	MCB UP Ltd
ORGANIZATION	MCB UP Ltd
PERSON	Brian Hancock Michael J Giarlo
ORGANIZATION	Center for Electronic Texts in the Humanities Library Hi Tech Vol
ORGANIZATION	Clarivate Social Sciences Citation Index SSCI
ORGANIZATION	Scopus
ORGANIZATION	LG Science Land in Korea Marketing
LOCATION	Crossref Qualitative
LOCATION	US
PERSON	Brian Hancock Michael J Giarlo
ORGANIZATION	About Emerald About Us Company Information Working for Emerald Contact
ORGANIZATION	Emerald Websites Emerald Publishing Emerald Group 50th Anniversary Emerald Management First Emerald Bookstore Emerald Careers The Emerald Foundation
